iter	RMSE
0	0.4882677308
1	0.4629350287
2	0.4417106372
3	0.4229261392
4	0.4043833264
5	0.3885086995
6	0.3743366529
7	0.3626259976
8	0.3518237836
9	0.3423119471
10	0.334583411
11	0.3276732625
12	0.3209451404
13	0.3150741272
14	0.3099795877
15	0.3055247585
16	0.301273993
17	0.2975847609
18	0.294103551
19	0.2912398483
20	0.2884531509
21	0.2860159175
22	0.284066336
23	0.2820605737
24	0.2801766984
25	0.2782611321
26	0.2765535268
27	0.2748959703
28	0.2735120059
29	0.2722109155
30	0.2709726755
31	0.2697209587
32	0.2686492095
33	0.2677448802
34	0.2667152401
35	0.2657346612
36	0.2651140862
37	0.2642600277
38	0.2636080474
39	0.2631303988
40	0.2625920154
41	0.261732344
42	0.2610951667
43	0.2605249735
44	0.2599228142
45	0.2592633293
46	0.258752709
47	0.2582769418
48	0.2578931177
49	0.2575994538
50	0.2568450161
51	0.2562632214
52	0.2554648294
53	0.2549943357
54	0.2547605576
55	0.254264529
56	0.2536511336
57	0.2531566699
58	0.252766749
59	0.2525058955
60	0.2522719111
61	0.2517555769
62	0.2514310678
63	0.2507915271
64	0.2503660815
65	0.250123384
66	0.2498954204
67	0.2496384806
68	0.249269132
69	0.2489858888
70	0.2485516629
71	0.2483733358
72	0.2480934927
73	0.2479324461
74	0.247579197
75	0.2472223754
76	0.2470440582
77	0.2468991846
78	0.2464331464
79	0.2463149275
80	0.2461505703
81	0.2459675988
82	0.2456218088
83	0.2453871496
84	0.2450654832
85	0.2448410008
86	0.2444900619
87	0.2442852146
88	0.2441221093
89	0.2440276234
90	0.2438956531
91	0.2438051086
92	0.2432940913
93	0.2430796193
94	0.2428558296
95	0.2425559883
96	0.2424447104
97	0.2421274625
98	0.2419450126
99	0.2418047413
100	0.2416330192
101	0.2412944264
102	0.241006654
103	0.2407228944
104	0.2406046775
105	0.24049061
106	0.2404492272
107	0.2403248289
108	0.2400084092
109	0.2398395019
110	0.2396193544
111	0.2394591564
112	0.2392083422
113	0.2390441277
114	0.2388628336
115	0.2386140053
116	0.238478204
117	0.2383439989
118	0.2381639796
119	0.2377312675
120	0.2375275139
121	0.2373586358
122	0.2371653577
123	0.2370676316
124	0.2367934791
125	0.2366610118
126	0.2365621232
127	0.2364953579
128	0.2363312111
129	0.2362910308
130	0.236066302
131	0.235872301
132	0.235818489
133	0.2356942596
134	0.2354008869
135	0.2353308737
136	0.2352267073
137	0.2351733202
138	0.2351095425
139	0.2349845511
140	0.2349192259
141	0.2345833322
142	0.2345000907
143	0.2344417736
144	0.2342061275
145	0.2341504522
146	0.2338804222
147	0.233823981
148	0.2336494325
149	0.2334071783
150	0.2332873671
151	0.2331498504
152	0.2328897794
153	0.2328556708
154	0.2325622795
155	0.2325562346
156	0.232504446
157	0.23235719
158	0.2322572669
159	0.2322131614
160	0.2320589248
161	0.2319652062
162	0.2318138447
163	0.2317788816
164	0.2316560022
165	0.2313731141
166	0.2312311441
167	0.2311816994
168	0.2309079857
169	0.2307894299
170	0.2305333796
171	0.2304210203
172	0.2301724854
173	0.2300099076
174	0.2300040987
175	0.2299141569
176	0.2297711787
177	0.2297040148
178	0.2295004021
179	0.2294739582
180	0.2294031006
181	0.2293527702
182	0.2293038458
183	0.2291615657
184	0.2290543022
185	0.2289969305
186	0.2289260174
187	0.2289092326
188	0.2287607351
189	0.2285507076
190	0.228396624
191	0.2281748993
192	0.2281705099
193	0.228031414
194	0.2280274172
195	0.2276984409
196	0.2276171324
197	0.2275639054
198	0.2274987855
199	0.2273299513
200	0.2271943476
201	0.2270933503
202	0.2269661037
203	0.2268880337
204	0.2268118308
205	0.2267999078
206	0.2265809824
207	0.2264806394
208	0.226471349
209	0.2263753811
210	0.2262096326
211	0.2262067309
212	0.2260884766
213	0.225997194
214	0.2259430305
215	0.2258593541
216	0.2258026304
217	0.2255762529
218	0.2254503626
219	0.2253915096
220	0.2253106778
221	0.2252822493
222	0.2251724073
223	0.2250304664
224	0.2250045494
225	0.2246908757
226	0.2246718386
227	0.2244301662
228	0.2243481654
229	0.2242902986
230	0.2241929277
231	0.2240628021
232	0.2240024067
233	0.2239447635
234	0.2237339194
235	0.2236797382
236	0.2235733125
237	0.2234683111
238	0.2233894409
239	0.2232742245
240	0.2231943735
241	0.2231709981
242	0.2230983482
243	0.2230090359
244	0.2229023014
245	0.2228472687
246	0.2228218532
247	0.2227895936
248	0.222736942
249	0.2227306465
250	0.2225665277
251	0.2225056918
252	0.222473052
253	0.2224325236
254	0.2223926443
255	0.222291398
256	0.2222782967
257	0.2221835287
258	0.2221327565
259	0.2220911173
260	0.2219750123
261	0.2218108988
262	0.221747274
263	0.2216874087
264	0.2214587017
265	0.2212943325
266	0.2211994144
267	0.2211029173
268	0.2210476501
269	0.2209339426
270	0.2208606379
271	0.2207166323
272	0.220568013
273	0.2204673672
274	0.2203713121
275	0.2203461625
276	0.2203047432
277	0.2201400114
278	0.2200825306
279	0.2200365265
280	0.2199339153
281	0.2198355036
282	0.2197366648
283	0.2196596719
284	0.2196287698
285	0.2195957877
286	0.2195805033
287	0.2195457971
288	0.2194829647
289	0.2194426349
290	0.2193921479
291	0.2191188497
292	0.2190897886
293	0.2189186844
294	0.2188349235
295	0.2188236529
296	0.2188085238
297	0.2187162469
298	0.218622953
299	0.218534937
