iter	Passed	Remaining
0	75	22627
1	93	13940
2	108	10764
3	120	8902
4	133	7903
5	152	7474
6	177	7413
7	196	7183
8	221	7154
9	318	9245
10	354	9313
11	367	8811
12	378	8362
13	389	7966
14	400	7602
15	411	7304
16	433	7212
17	447	7016
18	459	6801
19	474	6646
20	489	6497
21	510	6452
22	524	6315
23	537	6184
24	549	6045
25	561	5920
26	570	5764
27	582	5662
28	593	5550
29	606	5462
30	624	5415
31	637	5342
32	647	5242
33	660	5166
34	672	5092
35	684	5016
36	693	4931
37	706	4873
38	721	4828
39	732	4758
40	743	4698
41	758	4657
42	770	4607
43	784	4563
44	797	4520
45	812	4487
46	823	4430
47	841	4417
48	856	4388
49	868	4342
50	881	4302
51	894	4264
52	905	4220
53	915	4171
54	928	4133
55	941	4101
56	961	4097
57	973	4063
58	986	4029
59	1000	4002
60	1036	4060
61	1049	4028
62	1066	4010
63	1084	3998
64	1105	3996
65	1120	3972
66	1131	3933
67	1144	3903
68	1158	3878
69	1171	3849
70	1183	3817
71	1216	3851
72	1228	3820
73	1242	3794
74	1256	3768
75	1269	3742
76	1282	3715
77	1298	3696
78	1313	3673
79	1329	3656
80	1343	3632
81	1361	3619
82	1378	3603
83	1397	3592
84	1421	3596
85	1435	3571
86	1460	3574
87	1476	3556
88	1489	3532
89	1503	3507
90	1517	3484
91	1531	3462
92	1550	3451
93	1574	3450
94	1596	3444
95	1609	3420
96	1628	3407
97	1640	3381
98	1657	3365
99	1672	3344
100	1684	3319
101	1695	3292
102	1707	3265
103	1719	3240
104	1734	3221
105	1748	3199
106	1759	3173
107	1771	3150
108	1789	3135
109	1813	3133
110	1826	3110
111	1840	3089
112	1857	3073
113	1876	3061
114	1893	3046
115	1905	3022
116	1921	3004
117	1939	2991
118	1950	2967
119	1967	2951
120	1979	2928
121	2014	2939
122	2038	2934
123	2051	2912
124	2065	2891
125	2094	2892
126	2189	2981
127	2213	2973
128	2331	3091
129	2406	3146
130	2460	3174
131	2487	3166
132	2502	3141
133	2516	3117
134	2529	3091
135	2543	3067
136	2557	3043
137	2570	3018
138	2600	3012
139	2622	2997
140	2647	2985
141	2663	2963
142	2677	2939
143	2689	2913
144	2698	2884
145	2709	2858
146	2721	2832
147	2736	2810
148	2753	2790
149	2764	2764
150	2794	2757
151	2810	2736
152	2830	2719
153	2865	2716
154	2896	2709
155	2907	2684
156	2918	2657
157	2934	2637
158	2956	2621
159	2988	2615
160	3009	2598
161	3022	2574
162	3040	2555
163	3055	2533
164	3066	2508
165	3076	2483
166	3088	2459
167	3108	2442
168	3118	2416
169	3138	2400
170	3154	2379
171	3190	2374
172	3216	2361
173	3237	2344
174	3262	2330
175	3280	2311
176	3311	2301
177	3328	2281
178	3370	2278
179	3394	2262
180	3427	2253
181	3446	2234
182	3481	2225
183	3494	2203
184	3510	2182
185	3523	2159
186	3541	2139
187	3572	2128
188	3599	2113
189	3633	2103
190	3646	2080
191	3662	2060
192	3696	2049
193	3729	2037
194	3750	2019
195	3769	2000
196	3785	1979
197	3799	1957
198	3818	1937
199	3834	1917
200	3853	1897
201	3868	1876
202	3888	1857
203	3903	1837
204	3922	1817
205	3938	1796
206	3959	1778
207	3989	1764
208	4006	1744
209	4028	1726
210	4060	1712
211	4075	1691
212	4106	1677
213	4135	1661
214	4161	1645
215	4189	1629
216	4215	1612
217	4237	1593
218	4258	1575
219	4281	1556
220	4323	1545
221	4348	1527
222	4367	1508
223	4393	1490
224	4413	1471
225	4434	1452
226	4454	1432
227	4470	1411
228	4483	1390
229	4497	1368
230	4511	1347
231	4526	1326
232	4543	1306
233	4566	1287
234	4588	1269
235	4608	1249
236	4628	1230
237	4656	1213
238	4670	1191
239	4685	1171
240	4700	1150
241	4715	1130
242	4729	1109
243	4741	1088
244	4753	1067
245	4767	1046
246	4780	1025
247	4798	1006
248	4814	986
249	4828	965
250	4842	945
251	4867	927
252	4883	907
253	4900	887
254	4918	868
255	4947	850
256	4963	830
257	4983	811
258	5013	793
259	5038	775
260	5082	759
261	5111	741
262	5155	725
263	5178	706
264	5201	686
265	5224	667
266	5255	649
267	5281	630
268	5305	611
269	5324	591
270	5350	572
271	5384	554
272	5403	534
273	5413	513
274	5427	493
275	5449	473
276	5478	454
277	5505	435
278	5538	416
279	5556	396
280	5572	376
281	5585	356
282	5599	336
283	5629	317
284	5644	297
285	5674	277
286	5698	258
287	5720	238
288	5740	218
289	5758	198
290	5775	178
291	5808	159
292	5863	140
293	5887	120
294	5903	100
295	5937	80
296	5958	60
297	5973	40
298	5988	20
299	6005	0
